target,predictor,value,r_squared,mse,predictor_layer,target_layer
PLXNB2,(Intercept),-6.22431414383306e-18,0.0023670088128011,0.994535049467735,(Intercept),gene
PLXNB2,ARHGEF11,-0.0300334455044715,0.0023670088128011,0.994535049467735,gene,gene
PLXNB2,age,0.0398411787019472,0.0023670088128011,0.994535049467735,phenotype,gene
SBF1,(Intercept),-8.49085486735706e-18,8.60484787864229e-06,0.997215058030127,(Intercept),gene
SBF1,MTMR2,0,8.60484787864229e-06,0.997215058030127,gene,gene
SBF1,SUV39H1,0,8.60484787864229e-06,0.997215058030127,gene,gene
SBF1,age,0.0029334020997201,8.60484787864229e-06,0.997215058030127,phenotype,gene
SHANK3,(Intercept),2.14550102505573e-17,8.67035080564822e-06,0.997157790131676,(Intercept),gene
SHANK3,ARHGEF7,0.00294454594218671,8.67035080564822e-06,0.997157790131676,gene,gene
SHANK3,age,0,8.67035080564822e-06,0.997157790131676,phenotype,gene
ZNF446,(Intercept),2.68323688624034e-17,1.13991860508624e-05,0.996996415314428,(Intercept),gene
ZNF446,ZNF232,0,1.13991860508624e-05,0.996996415314428,gene,gene
ZNF446,ZNF24,0,1.13991860508624e-05,0.996996415314428,gene,gene
ZNF446,ZNF263,0.00337626806561066,1.13991860508624e-05,0.996996415314428,gene,gene
ZNF446,ZNF496,0,1.13991860508624e-05,0.996996415314428,gene,gene
ZNF446,ZSCAN16,0,1.13991860508624e-05,0.996996415314428,gene,gene
ZNF446,age,0,1.13991860508624e-05,0.996996415314428,phenotype,gene
RPS5,(Intercept),7.16065968943519e-19,0.0120063070072222,0.978113284831274,(Intercept),gene
RPS5,KRR1,-0.07084885639875,0.0120063070072222,0.978113284831274,gene,gene
RPS5,PWP2,0,0.0120063070072222,0.978113284831274,gene,gene
RPS5,RRP9,0.0598232350428901,0.0120063070072222,0.978113284831274,gene,gene
RPS5,age,-0.0599753546963446,0.0120063070072222,0.978113284831274,phenotype,gene
UBE2M,(Intercept),1.11224367196404e-17,0.000550481620379971,0.994408007488004,(Intercept),gene
UBE2M,NAE1,0,0.000550481620379971,0.994408007488004,gene,gene
UBE2M,UBA3,0.0234623447332097,0.000550481620379971,0.994408007488004,gene,gene
UBE2M,age,0,0.000550481620379971,0.994408007488004,phenotype,gene
CIRBP,(Intercept),-2.12294671633326e-17,0.0158121602524402,0.976008794029155,(Intercept),gene
CIRBP,PRMT1,-0.0684630747016545,0.0158121602524402,0.976008794029155,gene,gene
CIRBP,RBMX,0.0525667809189444,0.0158121602524402,0.976008794029155,gene,gene
CIRBP,age,0.0948138017265459,0.0158121602524402,0.976008794029155,phenotype,gene
STK11,(Intercept),1.87598592661972e-17,0.00318926903461134,0.987267792395107,(Intercept),gene
STK11,CAB39,-0.0387871175739957,0.00318926903461134,0.987267792395107,gene,gene
STK11,SMARCA4,0.00932541915298175,0.00318926903461134,0.987267792395107,gene,gene
STK11,STRADA,0,0.00318926903461134,0.987267792395107,gene,gene
STK11,age,0.0408403723410277,0.00318926903461134,0.987267792395107,phenotype,gene
TXNL4A,(Intercept),-2.74348301808833e-17,0.0159655247134769,0.973478976883474,(Intercept),gene
TXNL4A,PQBP1,0.108267138015341,0.0159655247134769,0.973478976883474,gene,gene
TXNL4A,age,0.06398237775858,0.0159655247134769,0.973478976883474,phenotype,gene
CDAN1,(Intercept),2.17123204419581e-17,0.000101372488653714,0.997091279296544,(Intercept),gene
CDAN1,ASF1B,0.010068390569188,0.000101372488653714,0.997091279296544,gene,gene
CDAN1,age,0,0.000101372488653714,0.997091279296544,phenotype,gene
PLCB2,(Intercept),2.10945326575821e-17,0.00147897184586355,0.992752614819801,(Intercept),gene
PLCB2,TRPM7,0.00456546102821677,0.00147897184586355,0.992752614819801,gene,gene
PLCB2,age,0.0382897516466203,0.00147897184586355,0.992752614819801,phenotype,gene
RAD51,(Intercept),2.59805249855622e-18,0.0209592761034901,0.946654756177036,(Intercept),gene
RAD51,ABL1,-0.0329600551164112,0.0209592761034901,0.946654756177036,gene,gene
RAD51,BARD1,0,0.0209592761034901,0.946654756177036,gene,gene
RAD51,BLM,0.0917336020354757,0.0209592761034901,0.946654756177036,gene,gene
RAD51,BRCA1,0,0.0209592761034901,0.946654756177036,gene,gene
RAD51,BRCC3,-0.0191479429343269,0.0209592761034901,0.946654756177036,gene,gene
RAD51,BRE,-0.00808681024014946,0.0209592761034901,0.946654756177036,gene,gene
RAD51,RAD51AP1,0.0885302845724734,0.0209592761034901,0.946654756177036,gene,gene
RAD51,RAD51C,0,0.0209592761034901,0.946654756177036,gene,gene
RAD51,RAD52,0,0.0209592761034901,0.946654756177036,gene,gene
RAD51,TP53,0,0.0209592761034901,0.946654756177036,gene,gene
RAD51,age,0,0.0209592761034901,0.946654756177036,phenotype,gene
SRP14,(Intercept),6.50211715459006e-18,0.00120964540609911,0.991806658696245,(Intercept),gene
SRP14,SRP54,0.0187774947171697,0.00120964540609911,0.991806658696245,gene,gene
SRP14,SRP68,0,0.00120964540609911,0.991806658696245,gene,gene
SRP14,SRP72,0,0.00120964540609911,0.991806658696245,gene,gene
SRP14,age,0.0288042201249614,0.00120964540609911,0.991806658696245,phenotype,gene
BUB1B,(Intercept),2.0438226607736e-18,0.00317021075207697,0.991148602895542,(Intercept),gene
